priority,title,authors,year,journal,doi,citations,relevance_score,score_reason,url_1_label,url_1,url_2_label,url_2,url_3_label,url_3,url_4_label,url_4,url_5_label,url_5,notes
1,Apocalypse Forever?,Erik Swyngedouw,2010,"Theory, Culture &amp; Society",10.1177/0263276409358728,919,8.0,"This paper makes a substantial theoretical contribution to understanding the paradox of climate change politicization within post-political conditions, directly engaging with social theory, power, and governance in ways central to Theory, Culture & Society's intellectual tradition, with only minor limitations in the incomplete abstract.",Publisher page,https://doi.org/10.1177/0263276409358728,Unpaywall page,https://unpaywall.org/10.1177/0263276409358728,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276409358728,Google Scholar,https://scholar.google.com/scholar?q=Apocalypse+Forever?,ResearchGate,https://www.researchgate.net/search?q=Apocalypse+Forever?,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
2,A Theoretical Framework for the Critical Posthumanities,Rosi Braidotti,2018,"Theory, Culture &amp; Society",10.1177/0263276418771486,685,8.0,"Theoretically rich engagement with posthumanism, ontology, and subjectivity that directly aligns with Theory, Culture & Society traditions, though the abstract's incompleteness and absence of empirical grounding prevent a perfect score.",Publisher page,https://doi.org/10.1177/0263276418771486,Unpaywall page,https://unpaywall.org/10.1177/0263276418771486,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276418771486,Google Scholar,https://scholar.google.com/scholar?q=A+Theoretical+Framework+for+the+Critical+Posthumanities,ResearchGate,https://www.researchgate.net/search?q=A+Theoretical+Framework+for+the+Critical+Posthumanities,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
3,A New Climate for Society,Sheila Jasanoff,2010,"Theory, Culture &amp; Society",10.1177/0263276409361497,647,8.0,"Strong theoretical contribution examining climate change through social and cultural theory, analyzing how scientific knowledge disrupts meaning-making and social institutions across multiple registers (communal, political, spatial, temporal), with direct relevance to modernity, power, and subjectivity themes central to Theory, Culture & Society tradition.",Publisher page,https://doi.org/10.1177/0263276409361497,Unpaywall page,https://unpaywall.org/10.1177/0263276409361497,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276409361497,Google Scholar,https://scholar.google.com/scholar?q=A+New+Climate+for+Society,ResearchGate,https://www.researchgate.net/search?q=A+New+Climate+for+Society,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
4,What Is Energy For? Social Practice and Energy Demand,Elizabeth Shove; Gordon Walker,2014,"Theory, Culture &amp; Society",10.1177/0263276414536746,572,8.0,"Strong theoretical contribution on energy, modernity, and social practice grounded in social theory; directly addresses how theoretical frameworks shape understanding of socio-technical systems; minor gap is that abstract is incomplete but clearly positions energy as central to cultural and social reproduction.",Publisher page,https://doi.org/10.1177/0263276414536746,Unpaywall page,https://unpaywall.org/10.1177/0263276414536746,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276414536746,Google Scholar,https://scholar.google.com/scholar?q=What+Is+Energy+For?+Social+Practice+and+Energy+Demand,ResearchGate,https://www.researchgate.net/search?q=What+Is+Energy+For?+Social+Practice+and+Energy+Demand,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
5,A New Algorithmic Identity,John Cheney-Lippold,2011,"Theory, Culture &amp; Society",10.1177/0263276411424420,501,8.0,"Strong theoretical contribution applying Foucauldian concepts (biopower, biopolitics) to digital surveillance and algorithmic identity construction, with clear engagement with social theory and power relations, though the abstract is incomplete and empirical grounding is unclear.",Publisher page,https://doi.org/10.1177/0263276411424420,Unpaywall page,https://unpaywall.org/10.1177/0263276411424420,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276411424420,Google Scholar,https://scholar.google.com/scholar?q=A+New+Algorithmic+Identity,ResearchGate,https://www.researchgate.net/search?q=A+New+Algorithmic+Identity,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
6,Lively Infrastructure,Ash Amin,2014,"Theory, Culture &amp; Society",10.1177/0263276414548490,474,8.0,"Strong fit combining critical social theory with empirical grounding on infrastructure, power, rights, and urban subjectivity; directly aligned with Theory, Culture & Society concerns about modernity, identity, and social struggle, with only minor limitations in scope relative to the journal's broadest theoretical ambitions.",Publisher page,https://doi.org/10.1177/0263276414548490,Unpaywall page,https://unpaywall.org/10.1177/0263276414548490,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276414548490,Google Scholar,https://scholar.google.com/scholar?q=Lively+Infrastructure,ResearchGate,https://www.researchgate.net/search?q=Lively+Infrastructure,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
7,From a View to a Kill,Derek Gregory,2011,"Theory, Culture &amp; Society",10.1177/0263276411423027,402,8.0,"Theoretically sophisticated analysis of drone warfare engaging with concepts of modernity, power, violence, and subjectivity that directly aligns with Theory, Culture & Society tradition, though the abstract's incompleteness makes full assessment difficult.",Publisher page,https://doi.org/10.1177/0263276411423027,Unpaywall page,https://unpaywall.org/10.1177/0263276411423027,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276411423027,Google Scholar,https://scholar.google.com/scholar?q=From+a+View+to+a+Kill,ResearchGate,https://www.researchgate.net/search?q=From+a+View+to+a+Kill,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
8,The Psychic Life of Neoliberalism: Mapping the Contours of Entrepreneurial Subjectivity,Christina Scharff,2016,"Theory, Culture &amp; Society",10.1177/0263276415590164,400,8.0,"Excellent fit combining substantial theoretical contribution on neoliberalism and subjectivity with rigorous empirical grounding in 60+ interviews, directly addressing core Theory, Culture & Society concerns around power, subjectivity, and modernity, with only minor limitation in the truncated abstract preventing full assessment of conceptual depth.",Publisher page,https://doi.org/10.1177/0263276415590164,Unpaywall page,https://unpaywall.org/10.1177/0263276415590164,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276415590164,Google Scholar,https://scholar.google.com/scholar?q=The+Psychic+Life+of+Neoliberalism:+Mapping+the+Contours+of+Entrepreneurial+Subjectivity,ResearchGate,https://www.researchgate.net/search?q=The+Psychic+Life+of+Neoliberalism:+Mapping+the+Contours+of+Entrepreneurial+Subjectivity,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
9,Data Derivatives,Louise Amoore,2011,"Theory, Culture &amp; Society",10.1177/0263276411417430,298,8.0,"Theoretically rich engagement with algorithmic governance, data politics, and security infrastructure that directly addresses power, subjectivity, and modernity through a novel conceptual framework (data derivatives), with grounded empirical analysis of border control systems—strong fit for Theory, Culture & Society tradition despite limited abstract detail.",Publisher page,https://doi.org/10.1177/0263276411417430,Unpaywall page,https://unpaywall.org/10.1177/0263276411417430,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276411417430,Google Scholar,https://scholar.google.com/scholar?q=Data+Derivatives,ResearchGate,https://www.researchgate.net/search?q=Data+Derivatives,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
10,Vital Systems Security: Reflexive Biopolitics and the Government of Emergency,Stephen J Collier; Andrew Lakoff,2014,"Theory, Culture &amp; Society",10.1177/0263276413510050,283,9.0,"Exemplary fit with explicit engagement with biopolitics, modernity, power, and security governance as theoretical frameworks for analyzing the historical emergence and transformation of vital systems management across multiple domains.",Publisher page,https://doi.org/10.1177/0263276413510050,Unpaywall page,https://unpaywall.org/10.1177/0263276413510050,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276413510050,Google Scholar,https://scholar.google.com/scholar?q=Vital+Systems+Security:+Reflexive+Biopolitics+and+the+Government+of+Emergency,ResearchGate,https://www.researchgate.net/search?q=Vital+Systems+Security:+Reflexive+Biopolitics+and+the+Government+of+Emergency,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
11,The Human Sciences in a Biological Age,Nikolas Rose,2013,"Theory, Culture &amp; Society",10.1177/0263276412456569,269,8.0,"Excellent fit addressing how biological sciences reshape understandings of human subjectivity, identity, and the social—core Theory, Culture & Society concerns—with theoretical sophistication about the implications for human and social sciences, though the abstract doesn't fully detail the conceptual framework or empirical grounding.",Publisher page,https://doi.org/10.1177/0263276412456569,Unpaywall page,https://unpaywall.org/10.1177/0263276412456569,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276412456569,Google Scholar,https://scholar.google.com/scholar?q=The+Human+Sciences+in+a+Biological+Age,ResearchGate,https://www.researchgate.net/search?q=The+Human+Sciences+in+a+Biological+Age,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
12,Responding Bodies and Partial Affinities in Human–Animal Worlds,Vinciane Despret,2013,Theory Culture & Society,10.1177/0263276413496852,267,8.0,"Strong theoretical contribution exploring embodiment, subjectivity, and human-animal relations through the lens of science studies and phenomenology, with empirical grounding in fieldwork practices that directly engages with core Theory, Culture & Society themes of corporeality, ontology, and intersubjectivity.",Publisher page,https://doi.org/10.1177/0263276413496852,Unpaywall page,https://unpaywall.org/10.1177/0263276413496852,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276413496852,Google Scholar,https://scholar.google.com/scholar?q=Responding+Bodies+and+Partial+Affinities+in+Human–Animal+Worlds,ResearchGate,https://www.researchgate.net/search?q=Responding+Bodies+and+Partial+Affinities+in+Human–Animal+Worlds,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
13,"Techno-animism in Japan: Shinto Cosmograms, Actor-network Theory, and the Enabling Powers of Non-human Agencies",Casper Bruun Jensen; Anders Blok,2013,Theory Culture & Society,10.1177/0263276412456564,248,9.0,"Exemplary fit combining social theory (actor-network theory), cultural analysis (Japanese techno-animism), theoretical innovation (symmetrical anthropology), and critical engagement with modernity/non-human agency that directly aligns with Theory, Culture & Society's intellectual tradition.",Publisher page,https://doi.org/10.1177/0263276412456564,Unpaywall page,https://unpaywall.org/10.1177/0263276412456564,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276412456564,Google Scholar,"https://scholar.google.com/scholar?q=Techno-animism+in+Japan:+Shinto+Cosmograms,+Actor-network+Theory,+and+the+Enabling+Powers+of+Non-human+Agencies",ResearchGate,"https://www.researchgate.net/search?q=Techno-animism+in+Japan:+Shinto+Cosmograms,+Actor-network+Theory,+and+the+Enabling+Powers+of+Non-human+Agencies",Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
14,Geosocial Formations and the Anthropocene,Nigel Clark; Kathryn Yusoff,2017,"Theory, Culture &amp; Society",10.1177/0263276416688946,246,9.0,"Exemplary theoretical intervention on modernity, social formations, and earth processes that directly engages with contemporary concerns (Anthropocene, climate change) while making substantial conceptual contributions about the relationship between geological and social thought, perfectly aligned with Theory, Culture & Society's critical tradition.",Publisher page,https://doi.org/10.1177/0263276416688946,Unpaywall page,https://unpaywall.org/10.1177/0263276416688946,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276416688946,Google Scholar,https://scholar.google.com/scholar?q=Geosocial+Formations+and+the+Anthropocene,ResearchGate,https://www.researchgate.net/search?q=Geosocial+Formations+and+the+Anthropocene,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
15,Being Alongside: Rethinking Relations amongst Different Kinds,Joanna Latimer,2013,Theory Culture & Society,10.1177/0263276413500078,230,8.0,"Theoretically sophisticated engagement with posthumanism, ontology, and relational theory that directly addresses power, subjectivity, and identity through the human/animal division—core concerns of critical social theory—though the abstract's incompleteness and empirical grounding remain unclear.",Publisher page,https://doi.org/10.1177/0263276413500078,Unpaywall page,https://unpaywall.org/10.1177/0263276413500078,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276413500078,Google Scholar,https://scholar.google.com/scholar?q=Being+Alongside:+Rethinking+Relations+amongst+Different+Kinds,ResearchGate,https://www.researchgate.net/search?q=Being+Alongside:+Rethinking+Relations+amongst+Different+Kinds,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
16,Reflections and Hypotheses on a Further Structural Transformation of the Political Public Sphere,Jürgen Habermas,2022,"Theory, Culture &amp; Society",10.1177/02632764221112341,228,9.0,"This is a seminal theoretical reflection on the public sphere and democracy directly aligned with Theory, Culture & Society's core concerns (modernity, power, public sphere, digitalisation), authored by Habermas, making a substantial conceptual contribution to social theory despite the abstract being truncated.",Publisher page,https://doi.org/10.1177/02632764221112341,Unpaywall page,https://unpaywall.org/10.1177/02632764221112341,Open Access Button,https://openaccessbutton.org/?id=10.1177/02632764221112341,Google Scholar,https://scholar.google.com/scholar?q=Reflections+and+Hypotheses+on+a+Further+Structural+Transformation+of+the+Political+Public+Sphere,ResearchGate,https://www.researchgate.net/search?q=Reflections+and+Hypotheses+on+a+Further+Structural+Transformation+of+the+Political+Public+Sphere,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
17,Consuming the Planet to Excess,John Urry,2010,Theory Culture & Society,10.1177/0263276409355999,219,8.0,"Excellent theoretical fit addressing capitalism, modernity, consumption, power, and environmental crisis through social theory frameworks (discipline/control, conspicuous consumption); makes substantial conceptual contributions to understanding contemporary conditions, though the abstract's incompleteness prevents a perfect score.",Publisher page,https://doi.org/10.1177/0263276409355999,Unpaywall page,https://unpaywall.org/10.1177/0263276409355999,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276409355999,Google Scholar,https://scholar.google.com/scholar?q=Consuming+the+Planet+to+Excess,ResearchGate,https://www.researchgate.net/search?q=Consuming+the+Planet+to+Excess,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
18,Between Inclusion and Exclusion: On the Topology of Global Space and Borders,Sandro Mezzadra; Brett Neilson,2012,"Theory, Culture &amp; Society",10.1177/0263276412443569,212,8.0,"Excellent theoretical contribution engaging with topology, globalization, borders, and power dynamics central to social theory tradition, with sophisticated conceptual analysis of inclusion/exclusion and methodological reflexivity, though the abstract's incompleteness prevents assessment of full argumentative scope.",Publisher page,https://doi.org/10.1177/0263276412443569,Unpaywall page,https://unpaywall.org/10.1177/0263276412443569,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276412443569,Google Scholar,https://scholar.google.com/scholar?q=Between+Inclusion+and+Exclusion:+On+the+Topology+of+Global+Space+and+Borders,ResearchGate,https://www.researchgate.net/search?q=Between+Inclusion+and+Exclusion:+On+the+Topology+of+Global+Space+and+Borders,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
19,Cosmopolitan Climates,Mike Hulme,2010,Theory Culture & Society,10.1177/0263276409358730,210,8.0,"Strong theoretical contribution engaging Beck's cosmopolitanism to analyse climate change through dissolution of modern dualisms (nature-culture, present-future, global-local), with sophisticated social theory grounding and clear relevance to modernity, power, and subjectivity themes central to the journal's tradition.",Publisher page,https://doi.org/10.1177/0263276409358730,Unpaywall page,https://unpaywall.org/10.1177/0263276409358730,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276409358730,Google Scholar,https://scholar.google.com/scholar?q=Cosmopolitan+Climates,ResearchGate,https://www.researchgate.net/search?q=Cosmopolitan+Climates,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
20,"Appropriation, Activation and Acceleration: The Escalatory Logics of Capitalist Modernity and the Crises of Dynamic Stabilization",Hartmut Rosa; Klaus Dörre; Stephan Lessenich,2016,Theory Culture & Society,10.1177/0263276416657600,209,9.0,"Directly addresses core theoretical concerns of social theory (dynamic stabilization, capitalist modernity, power dynamics) with substantial conceptual contribution through the ""Triple-A-Mode"" framework, perfectly aligned with Theory, Culture & Society tradition while engaging systemic crises and social reproduction.",Publisher page,https://doi.org/10.1177/0263276416657600,Unpaywall page,https://unpaywall.org/10.1177/0263276416657600,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276416657600,Google Scholar,"https://scholar.google.com/scholar?q=Appropriation,+Activation+and+Acceleration:+The+Escalatory+Logics+of+Capitalist+Modernity+and+the+Crises+of+Dynamic+Stabilization",ResearchGate,"https://www.researchgate.net/search?q=Appropriation,+Activation+and+Acceleration:+The+Escalatory+Logics+of+Capitalist+Modernity+and+the+Crises+of+Dynamic+Stabilization",Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
21,Introduction: The Becoming Topological of Culture,Celia Lury; Luciana Parisi; Tiziana Terranova,2012,"Theory, Culture &amp; Society",10.1177/0263276412454552,208,9.0,"Exemplary theoretical contribution on spatio-temporal organization of contemporary culture through topological analysis, directly addressing power, structure, and cultural ordering mechanisms central to Theory, Culture & Society tradition, with only minor limitation in the truncated abstract preventing full assessment of scope.",Publisher page,https://doi.org/10.1177/0263276412454552,Unpaywall page,https://unpaywall.org/10.1177/0263276412454552,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276412454552,Google Scholar,https://scholar.google.com/scholar?q=Introduction:+The+Becoming+Topological+of+Culture,ResearchGate,https://www.researchgate.net/search?q=Introduction:+The+Becoming+Topological+of+Culture,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
22,Cosmopolitanized Nations: Re-imagining Collectivity in World Risk Society,Ulrich Beck; Daniel Lévy,2013,Theory Culture & Society,10.1177/0263276412457223,208,8.0,"Strong theoretical contribution engaging with cosmopolitanism, nationalism, risk society, and collective identity formation—core concerns of Theory, Culture & Society—though the abstract's incompleteness prevents full assessment of empirical grounding and methodological approach.",Publisher page,https://doi.org/10.1177/0263276412457223,Unpaywall page,https://unpaywall.org/10.1177/0263276412457223,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276412457223,Google Scholar,https://scholar.google.com/scholar?q=Cosmopolitanized+Nations:+Re-imagining+Collectivity+in+World+Risk+Society,ResearchGate,https://www.researchgate.net/search?q=Cosmopolitanized+Nations:+Re-imagining+Collectivity+in+World+Risk+Society,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
23,"Popular Culture, Digital Archives and the New Social Life of Data",David Beer; Roger Burrows,2013,Theory Culture & Society,10.1177/0263276413476542,204,8.0,"Strong theoretical contribution examining digital data's implications for sociology, power structures, and the sociological imagination within cultural spheres, with excellent alignment to Theory, Culture & Society traditions of interrogating modernity, though the abstract's incompleteness prevents a perfect score.",Publisher page,https://doi.org/10.1177/0263276413476542,Unpaywall page,https://unpaywall.org/10.1177/0263276413476542,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276413476542,Google Scholar,"https://scholar.google.com/scholar?q=Popular+Culture,+Digital+Archives+and+the+New+Social+Life+of+Data",ResearchGate,"https://www.researchgate.net/search?q=Popular+Culture,+Digital+Archives+and+the+New+Social+Life+of+Data",Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
24,Beyond Personal Feelings and Collective Emotions: Toward a Theory of Social Affect,Robert Seyfert,2012,Theory Culture & Society,10.1177/0263276412438591,204,8.0,"Strong theoretical contribution to affect studies with explicit engagement with social theory and conceptual innovation (Spinozist framework for understanding social affect), directly aligned with the journal's focus on subjectivity, power, and cultural analysis, though the abstract's truncation prevents full assessment of empirical grounding or scope.",Publisher page,https://doi.org/10.1177/0263276412438591,Unpaywall page,https://unpaywall.org/10.1177/0263276412438591,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276412438591,Google Scholar,https://scholar.google.com/scholar?q=Beyond+Personal+Feelings+and+Collective+Emotions:+Toward+a+Theory+of+Social+Affect,ResearchGate,https://www.researchgate.net/search?q=Beyond+Personal+Feelings+and+Collective+Emotions:+Toward+a+Theory+of+Social+Affect,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
25,Social Theory and Climate Change,Elizabeth Shove,2010,Theory Culture & Society,10.1177/0263276410361498,202,8.0,"This is a meta-theoretical contribution examining how social theory engages with climate change across multiple conceptual framings (capitalism, nature-culture relations, problem definition, societal transformation), making it a strong fit for the journal's focus on social theory and modernity while addressing a crucial contemporary concern.",Publisher page,https://doi.org/10.1177/0263276410361498,Unpaywall page,https://unpaywall.org/10.1177/0263276410361498,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276410361498,Google Scholar,https://scholar.google.com/scholar?q=Social+Theory+and+Climate+Change,ResearchGate,https://www.researchgate.net/search?q=Social+Theory+and+Climate+Change,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
26,Interrupting the Anthropo-obScene: Immuno-biopolitics and Depoliticizing Ontologies in the Anthropocene,E Swyngedouw; Henrik Ernstson,2018,Theory Culture & Society,10.1177/0263276418757314,199,8.0,"Theoretically sophisticated engagement with biopolitics, ontology, and the politics of the Anthropocene that directly aligns with Theory, Culture & Society's concerns around power, subjectivity, and modernity, though the abstract's incompleteness and specialized terminology present minor accessibility concerns.",Publisher page,https://doi.org/10.1177/0263276418757314,Unpaywall page,https://unpaywall.org/10.1177/0263276418757314,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276418757314,Google Scholar,https://scholar.google.com/scholar?q=Interrupting+the+Anthropo-obScene:+Immuno-biopolitics+and+Depoliticizing+Ontologies+in+the+Anthropocene,ResearchGate,https://www.researchgate.net/search?q=Interrupting+the+Anthropo-obScene:+Immuno-biopolitics+and+Depoliticizing+Ontologies+in+the+Anthropocene,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
27,"Naturecultures? Science, Affect and the Non-human",Joanna Latimer; Mara Miele,2013,Theory Culture & Society,10.1177/0263276413502088,199,8.0,"Excellent theoretical contribution engaging with human/non-human relations, affect theory, and nature-culture binaries—core concerns in contemporary social and cultural theory—though the abstract's incompleteness prevents a perfect score.",Publisher page,https://doi.org/10.1177/0263276413502088,Unpaywall page,https://unpaywall.org/10.1177/0263276413502088,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276413502088,Google Scholar,"https://scholar.google.com/scholar?q=Naturecultures?+Science,+Affect+and+the+Non-human",ResearchGate,"https://www.researchgate.net/search?q=Naturecultures?+Science,+Affect+and+the+Non-human",Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
28,Introduction to ‘Secrecy and Transparency’,Clare Birchall,2011,"Theory, Culture &amp; Society",10.1177/0263276411427744,199,8.0,"Strong theoretical contribution to power, politics, and cultural discourse through conceptual analysis of transparency/secrecy as fundamental to modernity and governance, with sophisticated engagement with aporia and binaries typical of Theory, Culture & Society scholarship, though as an introduction it may lack empirical grounding.",Publisher page,https://doi.org/10.1177/0263276411427744,Unpaywall page,https://unpaywall.org/10.1177/0263276411427744,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276411427744,Google Scholar,https://scholar.google.com/scholar?q=Introduction+to+‘Secrecy+and+Transparency’,ResearchGate,https://www.researchgate.net/search?q=Introduction+to+‘Secrecy+and+Transparency’,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
29,New Materialisms: Foucault and the ‘Government of Things’,Thomas Lemke,2014,"Theory, Culture &amp; Society",10.1177/0263276413519340,198,8.0,"Excellent theoretical contribution engaging Foucault, new materialism, and governmentality with substantial conceptual implications for power, ontology, and biopolitics—core Theory, Culture & Society themes—with only minor limitations in apparent empirical grounding.",Publisher page,https://doi.org/10.1177/0263276413519340,Unpaywall page,https://unpaywall.org/10.1177/0263276413519340,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276413519340,Google Scholar,https://scholar.google.com/scholar?q=New+Materialisms:+Foucault+and+the+‘Government+of+Things’,ResearchGate,https://www.researchgate.net/search?q=New+Materialisms:+Foucault+and+the+‘Government+of+Things’,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
30,The Politics of Affect,Susan Ruddick,2010,Theory Culture & Society,10.1177/0263276410372235,194,9.0,"Exemplary fit for Theory, Culture & Society tradition—engages directly with affect theory, political subjectivity, and power through comparative analysis of major continental theorists (Negri, Deleuze, Spinoza), making a substantive conceptual contribution to understanding political imagination and social constitution under capitalism.",Publisher page,https://doi.org/10.1177/0263276410372235,Unpaywall page,https://unpaywall.org/10.1177/0263276410372235,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276410372235,Google Scholar,https://scholar.google.com/scholar?q=The+Politics+of+Affect,ResearchGate,https://www.researchgate.net/search?q=The+Politics+of+Affect,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
31,"Black Placemaking: Celebration, Play, and Poetry",Marcus Anthony Hunter; Mary Pattillo; Zandria F. Robinson; Keeanga-Yamahtta Taylor,2016,"Theory, Culture &amp; Society",10.1177/0263276416635259,187,8.0,"Strong theoretical contribution to cultural analysis and identity through the concept of black placemaking, grounded in social theory of space, resistance, and subjectivity, with empirical Chicago case study that privileges creative and experiential dimensions often marginalized in urban sociology.",Publisher page,https://doi.org/10.1177/0263276416635259,Unpaywall page,https://unpaywall.org/10.1177/0263276416635259,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276416635259,Google Scholar,"https://scholar.google.com/scholar?q=Black+Placemaking:+Celebration,+Play,+and+Poetry",ResearchGate,"https://www.researchgate.net/search?q=Black+Placemaking:+Celebration,+Play,+and+Poetry",Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
32,Cultural Techniques: Preliminary Remarks,Geoffrey Winthrop‐Young,2013,Theory Culture & Society,10.1177/0263276413500828,177,9.0,"Excellent theoretical contribution tracing the genealogy of a key German concept across media theory, cultural analysis, and ontology—directly aligned with Theory, Culture & Society's engagement with social theory, culture, and conceptual innovation, with only minor gaps due to the abstract's incompleteness.",Publisher page,https://doi.org/10.1177/0263276413500828,Unpaywall page,https://unpaywall.org/10.1177/0263276413500828,Open Access Button,https://openaccessbutton.org/?id=10.1177/0263276413500828,Google Scholar,https://scholar.google.com/scholar?q=Cultural+Techniques:+Preliminary+Remarks,ResearchGate,https://www.researchgate.net/search?q=Cultural+Techniques:+Preliminary+Remarks,Try URLs in order. Open Access Button often finds legal free versions other layers missed. Priority 1 = most cited + most relevant.
