paper_id,title,author,year,journal,epistemic_primary,epistemic_secondary,empirical_evidence,quant_methods,qual_methods,has_case,case_medium,case_function,normative_level,closure_type,move_count,reflexive_move,move_sequence_summary
albrecht_2025,Deep Disagreement as a Challenge for Democratic Education: Learning to Compromise,Albrecht,2025,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,medium,conclusion_open,6,False,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → normative_derivation → conclusion_open
anastasiou_2025,"The Hegemonic World Picture: Representation, Post-Truth, and Artificial Intelligence",Anastasiou,2025,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,high,conclusion_open,8,False,puzzle_diagnosis → rival_mapping → immanent_critique → genealogical_reconstruction → framework_proposal → conceptual_distinction → normative_derivation → conclusion_open
bartonek_2026,The Hegel Test,Bartonek,2026,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,medium,conclusion_strong,7,False,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → conceptual_distinction → normative_derivation → conclusion_strong
blumenfeld_2022,Expropriation of the Expropriators,Blumenfeld,2022,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,high,conclusion_strong,7,False,puzzle_diagnosis → rival_mapping → genealogical_reconstruction → conceptual_distinction → framework_proposal → normative_derivation → conclusion_strong
bonotti_seglow_2022,Freedom of Speech: A Relational Defence,Bonotti and Seglow,2022,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,high,conclusion_strong,7,False,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → conceptual_distinction → normative_derivation → conclusion_strong
brunkhorst_2023,The Public Sphere and Democracy in Transformation: Continuing the Debate – An Introduction,"Brunkhorst, Seeliger, Sevignani",2023,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,medium,research_agenda,4,False,puzzle_diagnosis → conceptual_distinction → framework_proposal → conclusion_open
bufkin_2024,"Racism, Epistemic Injustice, and Ideology Critique",Bufkin,2024,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,high,conclusion_strong,6,False,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → normative_derivation → conclusion_strong
cattien_stopford_2022,"The Appropriating Subject: Cultural Appreciation, Property and Entitlement",Cattien and Stopford,2022,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,high,conclusion_strong,7,False,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → conceptual_distinction → normative_derivation → conclusion_strong
celikates_2016,Democratizing Civil Disobedience,Celikates,2016,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,high,conclusion_open,6,False,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → counter_objection_response → conclusion_open
chan_2022,Online Astroturfing: A Problem Beyond Disinformation,Chan,2022,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,medium,conclusion_strong,6,False,puzzle_diagnosis → conceptual_distinction → rival_mapping → framework_proposal → normative_derivation → conclusion_strong
d_cruz_2024,Foucault's Naturalism: The Importance of Scientific Epistemology for the Genealogical Method,D'Cruz,2024,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,medium,conclusion_strong,6,False,puzzle_diagnosis → rival_mapping → genealogical_reconstruction → framework_proposal → conceptual_distinction → conclusion_strong
deegan_2023,A Marxist Reading of Ludwig Wittgenstein: Making the Case for Social and Political Change,Deegan,2023,Philosophy and Social Criticism,purely_interpretive_hermeneutic,,False,,,True,philosophical_text,generative,medium,conclusion_open,6,False,puzzle_diagnosis → case_introduction → case_development → immanent_critique → framework_proposal → conclusion_open
des_portes_2024,Towards a Decolonial Political Theory: Thinking from the Zone of Nonbeing,des Portes,2024,Philosophy and Social Criticism,normative_with_interpretive_case,,False,,,True,philosophical_text,generative,high,research_agenda,8,False,puzzle_diagnosis → rival_mapping → immanent_critique → case_introduction → case_development → case_interpretation → framework_proposal → conclusion_open
dyson_2024,From Critical Theory to Critical Therapy: Towards a Permanent Psycho-Political Revolution between Subjective and Objective Disalienation,Dyson,2024,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,high,conclusion_strong,7,False,puzzle_diagnosis → rival_mapping → immanent_critique → genealogical_reconstruction → framework_proposal → normative_derivation → conclusion_strong
engelman_2023,The Historicisation of the Human Senses from Feuerbach to Marx,Engelman,2023,Philosophy and Social Criticism,purely_interpretive_hermeneutic,,False,,,False,none,,low,conclusion_open,6,False,puzzle_diagnosis → rival_mapping → genealogical_reconstruction → case_development → conceptual_distinction → conclusion_open
feenberg_2023,Marcuse's Critique of Technology Today,Feenberg,2023,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,medium,conclusion_open,5,False,puzzle_diagnosis → genealogical_reconstruction → framework_proposal → normative_derivation → conclusion_open
ferber_2023,Jean Améry and the Time of Resentment,Ferber,2023,Philosophy and Social Criticism,normative_with_interpretive_case,,False,,,True,philosophical_text,generative,high,conclusion_open,7,False,puzzle_diagnosis → case_introduction → case_development → case_interpretation → conceptual_distinction → normative_derivation → conclusion_open
firinci_orman_2025,Rethinking Utopias through Hannah Arendt: Youth Climate Activism and the Politics of Possibility,Firinci Orman,2025,Philosophy and Social Criticism,normative_with_interpretive_case,,False,,,True,political_event,test_case_for_framework,medium,conclusion_open,7,False,puzzle_diagnosis → framework_proposal → case_introduction → case_development → case_interpretation → normative_derivation → conclusion_open
fischer_jarren_2023,The Platformization of the Public Sphere and its Challenge to Democracy,Fischer and Jarren,2023,Philosophy and Social Criticism,normative_with_qualitative_empirical,,True,,"Analysis of media industry trends, platform business models, journalism crisis indicators (illustrative).",True,institutional_process,test_case_for_framework,medium,open_ended_with_burden_on_reader,6,False,puzzle_diagnosis → framework_proposal → case_introduction → case_development → normative_derivation → conclusion_open
fourie_2022,The Neoliberal Influence on South Africa's Early Democracy and its Shortfalls in Addressing Economic Inequality,Fourie,2022,Philosophy and Social Criticism,normative_with_qualitative_empirical,,True,,"Policy document analysis: RDP (1994), GEAR strategy (1996), ANC policy statements; secondary economic data on South African inequality (Gini coefficient, unemployment, HDI).",True,historical_event,test_case_for_framework,high,open_ended_with_burden_on_reader,8,False,empirical_presentation → puzzle_diagnosis → framework_proposal → case_introduction → case_development → case_interpretation → normative_derivation → conclusion_open
fuchs_2025,"Antonio Negri, Spinoza, Marx, and Digital Capitalism",Fuchs,2025,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,high,conclusion_open,6,False,puzzle_diagnosis → rival_mapping → framework_proposal → conceptual_distinction → normative_derivation → conclusion_open
giannakakis_2023,"For a Negative Hermeneutics: Adorno, Gadamer and Critical Consciousness",Giannakakis,2023,Philosophy and Social Criticism,fully_normative,,False,,,False,none,,high,conclusion_open,7,True,puzzle_diagnosis → rival_mapping → genealogical_reconstruction → conceptual_distinction → framework_proposal → meta_reflexive_qualification → conclusion_open
giannakakis_2026,Patterns of Withdrawal: Adorno and the Beats,Giannakakis,2026,Philosophy and Social Criticism,normative_with_interpretive_case,,False,,"Close reading of Adorno's Negative Dialectics and Minima Moralia alongside Beat literary texts (Howl, On the Road, Doctor Sax); comparative cultural-philosophical analysis.",True,literary_text,generative,medium,conclusion_open,7,False,puzzle_diagnosis → case_introduction → case_development → case_interpretation → conceptual_distinction → framework_proposal → conclusion_open
