paper_id,title,author,year,journal,epistemic_primary,epistemic_secondary,empirical_evidence,quant_methods,qual_methods,has_case,case_medium,case_function,normative_level,closure_type,move_count,reflexive_move,move_sequence_summary
abolafia_2025,Active and passive citizens: a defense of majoritarian democracy [Book Review],Abolafia,2025,Contemporary Political Theory,normative_with_interpretive_case,,False,,,True,philosophical_text,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,6,True,puzzle_diagnosis → case_introduction → case_development → immanent_critique → meta_reflexive_qualification → conclusion_open
sakurai_2025,Rethinking political thinkers [Book Review],Sakurai,2025,Contemporary Political Theory,fully_normative,,False,,,True,philosophical_text,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,6,False,puzzle_diagnosis → rival_mapping → immanent_critique → conceptual_distinction → normative_derivation → conclusion_strong
laegaard_2025,Normative sociology and normative behaviorism: recent discussions of the relation between empirical social science and normative political theory,Lægaard,2025,Contemporary Political Theory,fully_normative,,False,,,False,none,none,medium,research_agenda,7,True,puzzle_diagnosis → rival_mapping → conceptual_distinction → immanent_critique → immanent_critique → meta_reflexive_qualification → conclusion_open
dejongh_2025,"Reconsidering cosmopolitanism and forgiveness: Arendt, Derrida, and 'care for the world' [Book Review]",de Jongh,2025,Contemporary Political Theory,normative_with_interpretive_case,,False,,,True,philosophical_text,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,6,False,puzzle_diagnosis → case_introduction → case_development → immanent_critique → framework_proposal → conclusion_open
kellner_2025,Friedrich Pollock: The éminence grise of the Frankfurt School [Book Review],Kellner,2025,Contemporary Political Theory,purely_interpretive_hermeneutic,,False,,,True,historical_event,primary_object_of_analysis,low,open_ended_with_burden_on_reader,5,False,puzzle_diagnosis → case_introduction → case_development → genealogical_reconstruction → conclusion_open
maiwald_2025,The political theory of liberal socialism [Book Review],Maiwald,2025,Contemporary Political Theory,normative_with_interpretive_case,,False,,,True,philosophical_text,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,5,False,puzzle_diagnosis → case_introduction → case_development → rival_mapping → conclusion_open
mcmanus_2025a,Equality: what it means and why it matters [Book Review],McManus,2025,Contemporary Political Theory,normative_with_interpretive_case,,False,,,True,political_event,illustration,high,open_ended_with_burden_on_reader,7,False,puzzle_diagnosis → empirical_presentation → case_introduction → case_development → immanent_critique → normative_derivation → conclusion_open
ghumkhor_gillespie_mcmorrow_2025,Race still matters: the (post) racial politics of conspiracy theories,"Ghumkhor, Gillespie, McMorrow",2025,Contemporary Political Theory,normative_with_interpretive_case,fully_normative,False,,,True,political_event,illustration,high,strong_normative_conclusion,9,False,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → case_introduction → case_interpretation → conceptual_distinction → normative_derivation → conclusion_strong
travis_2025,Contesting the far right: a psychoanalytic and feminist critical theory approach [Book Review],Travis,2025,Contemporary Political Theory,normative_with_interpretive_case,,False,,,True,political_event,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,5,False,puzzle_diagnosis → case_introduction → case_development → rival_mapping → conclusion_open
stitzlein_2025,Civic education in polarized times [Book Review],Stitzlein,2025,Contemporary Political Theory,normative_with_qualitative_empirical,,False,,,True,legal_case,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,5,False,puzzle_diagnosis → case_introduction → case_development → immanent_critique → conclusion_open
wapeemukwa_2025,"The late Marx's revolutionary roads: colonialism, gender, and indigenous communism [Book Review]",Wapeemukwa,2025,Contemporary Political Theory,normative_with_interpretive_case,,False,,,True,historical_event,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,5,False,puzzle_diagnosis → case_introduction → case_development → immanent_critique → conclusion_open
battaglini_2025,"Race, time, and utopia: critical theory and the process of emancipation [Book Review]",Battaglini,2025,Contemporary Political Theory,normative_with_interpretive_case,,False,,,True,philosophical_text,primary_object_of_analysis,high,open_ended_with_burden_on_reader,5,False,puzzle_diagnosis → framework_proposal → case_development → conceptual_distinction → conclusion_open
rozenburg_2025,The two faces of democracy: decentering agonism and deliberation [Book Review],Rozenburg,2025,Contemporary Political Theory,fully_normative,,False,,,True,philosophical_text,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,6,False,puzzle_diagnosis → rival_mapping → case_introduction → case_development → immanent_critique → conclusion_open
mendez_oberprantacher_2025,Subaltern silence: A postcolonial genealogy [Book Review],"Mendez, Oberprantacher",2025,Contemporary Political Theory,normative_with_interpretive_case,,False,,,True,historical_event,primary_object_of_analysis,medium,open_ended_with_burden_on_reader,5,False,puzzle_diagnosis → case_introduction → genealogical_reconstruction → immanent_critique → conclusion_open
white_2025,"Imagining democratic insurgency: enthusiasm, sublimity, and finitude",White,2025,Contemporary Political Theory,normative_with_interpretive_case,,False,,,True,historical_event,illustration,high,strong_normative_conclusion,9,True,puzzle_diagnosis → rival_mapping → conceptual_distinction → case_introduction → immanent_critique → framework_proposal → counter_objection_response → normative_derivation → conclusion_strong
buxton_bagg_enoch_marriott_moyn_2025,New perspectives on Judith Shklar [Critical Exchange],"Buxton, Bagg, Enoch, Marriott, Moyn",2025,Contemporary Political Theory,fully_normative,,False,,,True,philosophical_text,primary_object_of_analysis,high,research_agenda,7,True,puzzle_diagnosis → case_introduction → rival_mapping → case_development → framework_proposal → meta_reflexive_qualification → conclusion_open
sajo_2025,Democracy despite itself: liberal constitutionalism and militant democracy [Book Review],Sajó,2025,Contemporary Political Theory,normative_with_interpretive_case,,False,,,True,political_event,test_case_for_framework,high,open_ended_with_burden_on_reader,6,False,puzzle_diagnosis → case_introduction → case_development → immanent_critique → empirical_presentation → conclusion_open
tang_2025,What remains: the collected poems of Hannah Arendt [Book Review],Tang,2025,Contemporary Political Theory,purely_interpretive_hermeneutic,,False,,,True,literary_text,primary_object_of_analysis,low,open_ended_with_burden_on_reader,5,False,puzzle_diagnosis → case_introduction → case_development → case_interpretation → conclusion_open
