title,authors,year,doi,arxiv_id,journal,citations,relevance_score,score_reason,abstract,pdf_url
Vital Systems Security: Reflexive Biopolitics and the Government of Emergency,Stephen J Collier; Andrew Lakoff,2014,10.1177/0263276413510050,,"Theory, Culture &amp; Society",283,9.0,"Exemplary fit with explicit engagement with biopolitics, modernity, power, and security governance as theoretical frameworks for analyzing the historical emergence and transformation of vital systems management across multiple domains.","<jats:p>This article describes the historical emergence of vital systems security, analyzing it as a significant mutation in biopolitical modernity. The story begins in the early 20th century, when planners and policy-makers recognized the increasing dependence of collective life on interlinked systems such as transportation, electricity, and water. Over the following decades, new security mechanisms were invented to mitigate the vulnerability of these vital systems. While these techniques were ",https://journals.sagepub.com/doi/pdf/10.1177/0263276413510050
Geosocial Formations and the Anthropocene,Nigel Clark; Kathryn Yusoff,2017,10.1177/0263276416688946,,"Theory, Culture &amp; Society",246,9.0,"Exemplary theoretical intervention on modernity, social formations, and earth processes that directly engages with contemporary concerns (Anthropocene, climate change) while making substantial conceptual contributions about the relationship between geological and social thought, perfectly aligned with Theory, Culture & Society's critical tradition.","<jats:p>For at least two centuries most social thought has taken the earth to be the stable platform upon which dynamic social processes play out. Both climate change and the Anthropocene thesis – with their enfolding of dramatic geologic change into the space-time of social life – are now provoking social thinkers into closer engagement with earth science. After revisiting the decisive influence of the late 18th-century notion of geological formations on the idea of social formations, this intr",https://journals.sagepub.com/doi/pdf/10.1177/0263276416688946
Reflections and Hypotheses on a Further Structural Transformation of the Political Public Sphere,Jürgen Habermas,2022,10.1177/02632764221112341,,"Theory, Culture &amp; Society",228,9.0,"This is a seminal theoretical reflection on the public sphere and democracy directly aligned with Theory, Culture & Society's core concerns (modernity, power, public sphere, digitalisation), authored by Habermas, making a substantial conceptual contribution to social theory despite the abstract being truncated.","<jats:p> This article contains reflections on the further structural transformation of the public sphere, building on the author’s widely-discussed social-historical study, The Structural Transformation of the Public Sphere, which originally appeared in German in 1962 (English translation 1989). The first three sections contain preliminary theoretical reflections on the relationship between normative and empirical theory, the deliberative understanding of democracy, and the demanding preconditio",https://journals.sagepub.com/doi/pdf/10.1177/02632764221112341
Introduction: The Becoming Topological of Culture,Celia Lury; Luciana Parisi; Tiziana Terranova,2012,10.1177/0263276412454552,,"Theory, Culture &amp; Society",208,9.0,"Exemplary theoretical contribution on spatio-temporal organization of contemporary culture through topological analysis, directly addressing power, structure, and cultural ordering mechanisms central to Theory, Culture & Society tradition, with only minor limitation in the truncated abstract preventing full assessment of scope.","<jats:p> In social and cultural theory, topology has been used to articulate changes in structures and spaces of power. In this introduction, we argue that culture itself is becoming topological. In particular, this ‘becoming topological’ can be identified in the significance of a new order of spatio-temporal continuity for forms of economic, political and cultural life today. This ordering emerges, sometimes without explicit coordination, in practices of sorting, naming, numbering, comparing, l",https://journals.sagepub.com/doi/pdf/10.1177/0263276412454552
"Techno-animism in Japan: Shinto Cosmograms, Actor-network Theory, and the Enabling Powers of Non-human Agencies",Casper Bruun Jensen; Anders Blok,2013,10.1177/0263276412456564,,Theory Culture & Society,248,9.0,"Exemplary fit combining social theory (actor-network theory), cultural analysis (Japanese techno-animism), theoretical innovation (symmetrical anthropology), and critical engagement with modernity/non-human agency that directly aligns with Theory, Culture & Society's intellectual tradition.","In a wide range of contemporary debates on Japanese cultures of technological practice, brief reference is often made to distinct Shinto legacies, as forming an animist substratum of indigenous spiritual beliefs and cosmological imaginations. Japan has been described as a land of Shinto-infused ‘techno-animism’: exhibiting a ‘polymorphous perversity’ that resolutely ignores boundaries between human, animal, spiritual and mechanical beings. In this article, we deploy instances of Japanese techno-",
"Appropriation, Activation and Acceleration: The Escalatory Logics of Capitalist Modernity and the Crises of Dynamic Stabilization",Hartmut Rosa; Klaus Dörre; Stephan Lessenich,2016,10.1177/0263276416657600,,Theory Culture & Society,209,9.0,"Directly addresses core theoretical concerns of social theory (dynamic stabilization, capitalist modernity, power dynamics) with substantial conceptual contribution through the ""Triple-A-Mode"" framework, perfectly aligned with Theory, Culture & Society tradition while engaging systemic crises and social reproduction.","The paper starts by identifying dynamic stabilization as a defining feature of modern societies. This term refers to the fact that such a society requires (material) growth, (technological) augmentation and high rates of (cultural) innovation in order to reproduce its structure and to preserve the socioeconomic and political status quo. The subsequent sections explore the mechanisms and consequences of this mode of social reproduction, proceeding in three steps. First, three key aspects or ‘moto",
The Politics of Affect,Susan Ruddick,2010,10.1177/0263276410372235,,Theory Culture & Society,194,9.0,"Exemplary fit for Theory, Culture & Society tradition—engages directly with affect theory, political subjectivity, and power through comparative analysis of major continental theorists (Negri, Deleuze, Spinoza), making a substantive conceptual contribution to understanding political imagination and social constitution under capitalism.","How do we fashion a new political imaginary from fragmentary, diffuse and often antagonistic subjects, who may be united in principle against the exigencies of capitalism but diverge in practice, in terms of the sites, strategies and specific natures of their own oppression? To address this question I trace the dissonance between the approaches of Antonio Negri and Gilles Deleuze back to their divergent mobilizations of Spinoza’s affect and the role it plays in the ungrounding and reconstitution",
Cultural Techniques: Preliminary Remarks,Geoffrey Winthrop‐Young,2013,10.1177/0263276413500828,,Theory Culture & Society,177,9.0,"Excellent theoretical contribution tracing the genealogy of a key German concept across media theory, cultural analysis, and ontology—directly aligned with Theory, Culture & Society's engagement with social theory, culture, and conceptual innovation, with only minor gaps due to the abstract's incompleteness.","These introductory remarks outline the German concept of Kulturtechniken (cultural techniques) by tracing its various overlapping meanings from the late 19th century to today and linking it to developments in recent German theory. Originally related to the agricultural domain, the notion of cultural techniques was later employed to describe the interactions between humans and media, and, most recently, to account for basic operations and differentiations that give rise to an array of conceptual ",
The Remainders of Race,Ash Amin,2010,10.1177/0263276409350361,,Theory Culture & Society,133,9.0,"Theoretically sophisticated engagement with race, biopolitics, and power that directly aligns with Theory, Culture & Society's concerns with social theory, identity, and governance, with strong conceptual contributions on vernacular and state-regulated racism and their conjunctural interplay.","Prompted by the speed with which, in certain historical moments, the hard-won achievements of anti-racism can be comprehensively undone, this article reflects on the mechanisms that keep racial coding and judgement close to the surface, ready to spring into action. It reads the intensity of race in a given present in terms of the play between vernacular legacies of race-coded reception of visible difference and the conjunctural mobilizations of race by biopolitical regimes — state-regulated syst",
Comparative Global Humanities After Man: Alternatives to the Coloniality of Knowledge,Lisa Lowe; Kris Manjapra,2019,10.1177/0263276419854795,,Theory Culture & Society,107,9.0,"Excellent fit addressing coloniality, decentering Western modernity, and proposing alternative epistemologies across multiple humanities disciplines with explicit theoretical and conceptual innovation around identity, knowledge production, and power structures central to social theory.","The core concept of ‘the human’ that anchors so many humanities disciplines – history, literature, art history, philosophy, religion, anthropology, political theory, and others – issues from a very particular modern European definition of Man ‘over-represented’ as the human. The history of modernity and of modern disciplinary knowledge formations are, in this sense, a history of modern European forms monopolizing the definition of the human and placing other variations at a distance from the hum",
