paper_id,title,author,year,journal,epistemic_primary,epistemic_secondary,empirical_evidence,quant_methods,qual_methods,has_case,case_medium,case_function,normative_level,closure_type,move_count,reflexive_move,move_sequence_summary
amin-2014-lively-infrastructure,Lively Infrastructure,Amin,2014,"Theory, Culture & Society",normative_with_qualitative_empirical,,True,,"Ethnographic fieldwork and case study — three organized land occupations and one established favela in Belo Horizonte, Brazil (fieldwork September 2013), based on site visits and collaboration with local researchers, architects, and activists.",True,ethnographic_field,generative_of_theory,medium,open_ended_with_burden_on_reader,9,True,puzzle_diagnosis → rival_mapping → framework_proposal → case_introduction → case_development → case_interpretation → normative_derivation → meta_reflexive_qualification → conclusion_open
atkinson-2023-field-theory-and-assemblage-theory-toward-a-constructive-dialogue,Field Theory and Assemblage Theory: Toward a Constructive Dialogue,Atkinson,2023,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,low,strong_normative_conclusion,7,True,puzzle_diagnosis → rival_mapping → immanent_critique → counter_objection_response → framework_proposal → conceptual_distinction → conclusion_strong
baier-2023-narratives-of-post-truth-lyotard-and-the-epistemic-fragmentation-of-society,Narratives of Post-Truth: Lyotard and the Epistemic Fragmentation of Society,Baier,2023,"Theory, Culture & Society",normative_with_interpretive_case,,False,,,True,political_event,illustration,medium,open_ended_with_burden_on_reader,8,False,puzzle_diagnosis → framework_proposal → immanent_critique → conceptual_distinction → framework_proposal → case_introduction → case_interpretation → conclusion_open
baća-2024-qanon-and-the-epistemic-communities-of-the-unreal-a-conceptual-toolkit-for-a-sociology-of-grassroots,QAnon and the Epistemic Communities of the Unreal: A Conceptual Toolkit for a Sociology of Grassroots Conspiracism,Baća,2024,"Theory, Culture & Society",normative_with_interpretive_case,,False,,,True,political_event,illustration,medium,research_agenda,9,False,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → case_introduction → case_interpretation → case_interpretation → case_interpretation → conclusion_open
bhatt-2020-white-extinction-metaphysical-elements-of-contemporary-western-fascism,White Extinction: Metaphysical Elements of Contemporary Western Fascism,Bhatt,2020,"Theory, Culture & Society",normative_with_interpretive_case,,False,,,True,philosophical_text,primary_object_of_analysis,high,strong_normative_conclusion,8,True,puzzle_diagnosis → rival_mapping → genealogical_reconstruction → conceptual_distinction → case_development → case_interpretation → normative_derivation → conclusion_strong
black-johanssen-2025-the-subject-of-ai-a-psychoanalytic-intervention,The Subject of AI: A Psychoanalytic Intervention,Black and Johanssen,2025,"Theory, Culture & Society",normative_with_interpretive_case,,False,,,True,political_event,illustration,medium,open_ended_with_burden_on_reader,8,True,puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → case_introduction → case_interpretation → normative_derivation → conclusion_open
braidotti-2006-posthuman-all-too-human,"Posthuman, All Too Human: Towards a New Process Ontology",Braidotti,2006,"Theory, Culture & Society",fully_normative,,False,,,True,philosophical_text,generative_of_theory,high,open_ended_with_burden_on_reader,7,True,puzzle_diagnosis → case_introduction → case_interpretation → conceptual_distinction → framework_proposal → normative_derivation → conclusion_open
braidotti-2018-a-theoretical-framework-for-the-critical-posthumanities,A Theoretical Framework for the Critical Posthumanities,Braidotti,2018,"Theory, Culture & Society",fully_normative,,False,,,False,none,none,high,strong_normative_conclusion,7,True,puzzle_diagnosis → rival_mapping → framework_proposal → conceptual_distinction → normative_derivation → meta_reflexive_qualification → conclusion_strong
busbridge-2017-israel-palestine-and-the-settler-colonial-turn-from-interpretation-to-decolonization,Israel-Palestine and the Settler Colonial 'Turn': From Interpretation to Decolonization,Busbridge,2017,"Theory, Culture & Society",normative_with_interpretive_case,,False,,,True,historical_event,test_case_for_framework,high,open_ended_with_burden_on_reader,7,True,puzzle_diagnosis → rival_mapping → case_introduction → immanent_critique → case_development → meta_reflexive_qualification → conclusion_open
cai-2025-the-cultural-politics-of-artificial-intelligence-in-china,The Cultural Politics of Artificial Intelligence in China,Cai,2025,"Theory, Culture & Society",normative_with_qualitative_empirical,,True,,"Policy document analysis and secondary source analysis of Chinese smart city programs (City Brain, Shenzhen Net Weaving); draws on press and corporate whitepapers.",True,political_event,generative_of_theory,medium,research_agenda,8,False,empirical_presentation → puzzle_diagnosis → rival_mapping → immanent_critique → framework_proposal → case_development → normative_derivation → conclusion_open
